β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
0,0,0,0,0,0,0,0,0
0.207376,0.414823,0.622486,0.830166,1.037927,1.24576,1.453658,1.661614,1.86962
0.516352,1.035086,1.556231,2.079812,2.605854,3.134377,3.665402,4.198945,4.735021
0.853183,1.715478,2.587223,3.468749,4.360381,5.262436,6.175222,7.099039,8.034177
1.292067,2.602952,3.933209,5.283379,6.65399,8.045551,9.45855,10.89345,12.350685
1.8021,3.634395,5.497583,7.392313,9.319174,11.278678,13.271251,15.297205,17.356722
2.301041,4.644807,7.02843,9.453472,11.9202,14.4287,16.978832,19.570195,22.202073
2.725307,5.497182,8.315554,11.18008,14.090121,17.044708,20.042506,23.081772,26.160317
3.028986,6.104659,9.226354,12.393029,15.603256,18.855217,22.146703,25.475105,28.837402
3.207059,6.454755,9.742332,13.068668,16.432312,19.951229,23.480167,27.080715,30.757148
3.273475,6.578648,9.915736,13.284689,16.764123,20.272028,23.53677,27.010506,30.510272
3.249754,6.523561,9.823798,13.149774,16.508377,19.901351,23.331921,26.803078,30.317215
3.174806,6.369047,9.588803,12.839671,16.12855,19.462438,22.848293,26.292581,29.800705
3.099771,6.218031,9.362645,12.542074,15.765215,19.041149,22.378769,25.786286,29.270601
3.065992,6.151257,9.264567,12.414962,15.611614,18.863605,22.179602,25.567416,29.033454
3.093591,6.208048,9.351765,12.532984,15.759711,19.039583,22.37964,25.786012,29.263495
3.18458,6.391265,9.627263,12.899251,16.213359,19.575135,22.98944,26.460282,29.990542
3.330569,6.683794,10.065598,13.481092,16.934602,20.429678,23.969091,27.554765,31.18764
3.51796,7.05929,10.629333,14.232447,17.871966,21.55017,25.268255,29.026293,32.823131
3.729308,7.48797,11.270124,15.092791,18.955708,22.861102,26.809485,30.799473,34.827595
3.944865,7.918894,11.930373,15.986418,20.092582,24.252293,28.466336,32.732371,37.044494
4.146844,8.328644,12.555634,16.838502,21.18498,25.600257,30.085801,34.638495,39.249912
4.322893,8.687111,13.106047,17.591877,22.154538,26.800485,31.531439,36.343206,41.224761
4.465771,8.979687,13.5563,18.208759,22.947656,27.779577,32.705656,37.720269,42.810144
4.571388,9.196756,13.890405,18.665007,23.530516,28.492666,33.551502,38.700154,43.924178
4.638112,9.334041,14.100825,18.949741,23.889446,28.924533,34.054167,39.271022,44.560906
4.667419,9.394154,14.19175,19.070029,24.036526,29.095135,34.24484,39.478758,44.783911
4.664345,9.387709,14.180698,19.052423,24.010108,29.057781,34.195004,39.415859,44.708665
4.636998,9.332175,14.095995,18.938122,23.86651,28.886164,33.997743,39.196367,44.471137
4.596005,9.249397,13.972077,18.775264,23.668512,28.658352,33.746719,38.929536,44.196026
4.552477,9.162533,13.844466,18.611771,23.476027,28.445409,33.522961,38.704992,43.98024
4.516633,9.092388,13.744431,18.488731,23.338825,28.304242,33.388701,38.588411,43.891131
4.495763,9.053613,13.693595,18.433927,23.289674,28.271187,33.382325,38.618758,43.966937
4.492964,9.052175,13.700287,18.457334,23.339392,28.357092,33.513986,38.804911,44.214886
4.507084,9.085301,13.759499,18.551217,23.477207,28.548123,33.767044,39.127926,44.61438
4.534002,9.143811,13.856573,18.695246,23.677393,28.813937,34.107795,39.552297,45.129744
4.567961,9.21571,13.972875,18.86434,23.909197,29.119508,34.498854,40.040521,45.725597
4.603495,9.289644,14.091202,19.035916,24.145635,29.434895,34.909147,40.562397,46.374574
4.635604,9.35728,14.19937,19.194435,24.368493,29.740006,35.317519,41.096447,47.05549
4.664135,9.414221,14.291425,19.332675,24.569327,30.02489,35.711843,41.627349,47.748575
4.684602,9.459547,14.36674,19.450279,24.747457,30.287283,36.086351,42.143391,48.433477
4.698384,9.494451,14.427727,19.550601,24.906188,30.528687,36.438282,42.634578,49.089828
4.709061,9.520586,14.47722,19.637155,25.048644,30.750123,36.764297,43.090632,49.697833
4.717517,9.539145,14.516323,19.71099,25.174687,30.948987,37.057812,43.499434,50.23847
4.722696,9.54975,14.544786,19.769904,25.280093,31.118379,37.309847,43.847465,50.695687
4.721297,9.551816,14.559763,19.809581,25.358115,31.249126,37.505983,44.122808,51.056147
4.715377,9.544813,14.559473,19.825999,25.402575,31.333398,37.641301,44.31879,51.319605
4.704148,9.529577,14.544004,19.818014,25.41111,31.368287,37.712699,44.43655,51.492325
4.695318,9.508934,14.516743,19.789194,25.387446,31.35817,37.726276,44.485482,51.588839
4.685399,9.487762,14.484647,19.748649,25.342095,31.315388,37.696504,44.482619,51.629093
4.679506,9.472449,14.457474,19.708494,25.291339,31.259169,37.645116,44.451464,51.637299
4.680849,9.469971,14.446312,19.685092,25.254829,31.213019,37.598574,44.419975,51.640958
4.6924,9.486899,14.461896,19.693411,25.252508,31.201178,37.584444,44.417379,51.668779
4.716549,9.52862,14.503929,19.746505,25.30174,31.245123,37.627533,44.470397,51.747555
4.754923,9.598858,14.606575,19.85379,25.415308,31.360964,37.746802,44.59993,51.898964
4.808302,9.699458,14.745295,20.020384,25.600418,31.55805,37.953558,44.818868,52.137081
4.876554,9.830299,14.929507,20.246957,25.858468,31.838585,38.250811,45.131048,52.466733
4.958589,9.989256,15.141523,20.529839,26.185245,32.197885,38.633471,45.531162,52.882784
5.05233,10.172204,15.419398,20.861263,26.571378,32.625047,39.089177,46.005558,53.370564
5.154838,10.373155,15.71025,21.229828,27.003049,33.103982,39.59968,46.43091,53.907712
5.262187,10.584623,16.009006,21.621278,27.463066,33.567236,40.142773,47.091789,54.467406
5.368244,10.798261,16.329651,22.019726,27.932392,34.136035,40.694702,47.653712,55.022541
5.474952,11.005762,16.633627,22.409815,28.391361,34.646289,41.232853,48.196509,55.549954
5.57264,11.199876,16.918903,22.77598,28.825637,35.127348,41.738411,48.702137,56.033616
5.660791,11.375373,17.177599,23.109524,29.22084,35.566102,42.198545,49.159591,56.466043
5.738216,11.529716,17.405767,23.40468,29.571567,35.956188,42.607741,49.565614,56.847879
5.805177,11.663275,17.603751,23.661748,29.878228,36.298517,42.968045,49.924269,57.186302
5.863211,11.779021,17.775785,23.886083,30.14725,36.600622,43.288211,50.245703,57.493092
5.914744,11.881772,17.928908,24.086742,30.389504,36.874958,43.58194,50.544397,57.782941
5.962583,11.97702,18.071374,24.27522,30.618097,37.136518,43.868063,50.837171,58.072121
6.005174,12.07061,18.211549,24.460224,30.846,37.40028,44.155485,51.141119,58.377293
6.057209,12.166378,18.345793,24.652391,31.084013,37.67895,44.466038,51.471619,58.714169
6.107275,12.267061,18.507913,24.856713,31.339357,37.981345,44.807605,51.840554,59.095892
6.159832,12.373344,18.669569,25.075256,31.615019,38.311549,45.185598,52.254939,59.531312
6.214243,12.484115,18.839272,25.306613,31.909774,38.668794,45.600086,52.716143,60.023562
6.269167,12.596816,19.013452,25.546435,32.218739,39.047963,46.046112,53.21984,60.569433
6.322812,12.707933,19.187028,25.788267,32.534297,39.44054,46.514593,53.756749,61.159803
6.373287,12.813569,19.353882,26.024539,32.847244,39.835868,46.993651,54.314024,61.781089
6.41876,12.910002,19.509304,26.247625,33.148048,40.222575,47.470198,54.877033,62.417335
6.461996,12.994208,19.647536,26.450861,33.428076,40.591669,47.931551,55.431212,63.0524
6.489688,13.067909,19.765648,26.629423,33.680692,40.929481,48.366888,55.963683,63.671795
6.514179,13.119633,19.862367,26.780956,33.902076,41.235327,48.768375,56.46448,64.263914
6.53189,13.161221,19.950089,26.90588,34.091656,41.505423,49.131875,56.927301,64.820685
6.549816,13.191286,20.006992,27.022671,34.252105,41.741324,49.457182,57.349804,65.337775
6.554357,13.213108,20.042793,27.090502,34.407748,41.947867,49.747766,57.733494,65.814511
6.556053,13.230734,20.080816,27.162206,34.509281,42.132346,50.010078,58.08321,66.253578
6.56518,13.247442,20.116928,27.229515,34.621489,42.303459,50.252486,58.406286,66.660493
6.573264,13.267187,20.156142,27.298919,34.733212,42.469534,50.484012,58.711437,67.041313
6.584166,13.292195,20.202178,27.375419,34.850697,42.638282,50.713025,59.007506,67.409206
6.598436,13.323689,20.257045,27.461941,34.977954,42.814867,50.94611,59.302224,67.768017
6.616004,13.361642,20.320927,27.559119,35.116383,43.001829,51.187261,59.601156,68.126234
