α,β,L1,L2,L3
79.532147,77.233567,16.666667,39.588145,-56.254811
-77.229971,-16.459781,-40,-5.404157,45.404157
31.372957,-11.82653,22.666667,-6.137028,-16.529638
-50.106778,84.49799,-34.666667,53.1301,-18.463433
3.949716,-81.924435,28,-52.106236,24.106236
-43.626726,15.751505,-29.333333,7.160893,22.17244
63.188955,11.030354,33.333333,6.428022,-39.761355
-101.595591,-106.862819,-24,-38.230947,62.230947
52.121883,-68.237886,38.666667,-38.963818,0.297152
-12.423548,27.031838,-18.666667,19.725943,-1.059276
101.741337,128.012762,44,18.993072,-62.993072
-54.432436,-46.310321,-13.333333,-25.665897,38.99923
74.670832,-69.03928,49.333333,-26.398768,-22.934565
22.296891,48.889269,-8,32.86836,-24.86836
155.311141,-121.028858,54.666667,-71.790608,17.123941
-14.993312,-15.858314,-2.666667,-13.100847,15.767513
-100.058084,98.577834,-60,46.166282,13.833718
82.889186,85.020158,2.666667,45.43341,-48.100077
-99.732953,165.022196,-54.666667,0.774442,53.892225
6.58453,-0.748986,8,0.04157,-8.04157
-116.300657,99.248654,-49.333333,58.731332,-9.397998
-40.432256,-71.194998,13.333333,-45.927637,32.594303
-67.459653,40.215611,-44,13.339492,30.660508
43.412127,19.596048,18.666667,12.60662,-31.273287
-116.13181,-138.270823,-38.666667,-32.052348,70.719015
14.052531,-50.531548,24,-33.362587,9.362587
-39.114903,44.819982,-33.333333,25.904542,7.428791
83.765419,77.160268,29.333333,25.171671,-54.505004
-73.254706,-51.769743,-28,-19.487298,47.487298
45.448376,-39.137107,35.333333,-20.553503,-14.779831
-1.737065,58.685572,-22,38.713626,-16.713626
159.009137,-105.333106,40.666667,-66.52271,25.856043
-33.465626,-9.137714,-16.666667,-7.255581,23.922248
74.785075,-39.610314,46,-7.988453,-38.011547
75.417861,84.455768,-11.333333,51.278676,-39.945343
102.954269,-96.452332,51.333333,-53.380293,2.046959
-0.009245,0.119939,-6,5.309469,0.690531
106.240793,176.022791,56.666667,4.576597,-61.243264
-57.955733,-67.015411,-0.666667,-40.082371,40.749038
-98.457713,110.740048,-58,19.184758,38.815242
25.037142,25.673973,4.666667,18.451886,-23.118553
-169.768413,127.805496,-52.666667,77.719015,-25.052348
-9.907456,-39.151522,10,-27.517321,17.517321
-67.705438,66.697795,-47.333333,31.749808,15.583526
68.123285,63.632079,15.333333,31.016936,-46.350269
-82.143733,-59.993472,-42,-13.642032,55.642032
20.518981,-21.400931,20.666667,-14.374904,-6.291763
-43.681174,71.917422,-36.666667,44.314858,-7.648191
-145.063549,-98.273584,26,-60.344111,34.344111
-55.007477,1.559811,-31.333333,-1.076982,32.410316
51.495148,-8.140402,31.333333,-1.809854,-29.52348
148.655844,100.225966,-26,57.457275,-31.457275
48.620507,-75.977145,36.666667,-47.201694,10.535027
-22.625661,17.543,-20.666667,11.488068,9.178599
85.123644,60.581569,42,10.755196,-52.755196
-75.177073,-71.797923,-15.333333,-33.903772,49.237105
71.212391,-72.707579,48,-34.969977,-13.030023
7.60592,34.009252,-9.333333,24.297152,-14.963818
122.500992,156.913395,53.333333,22.986913,-76.320246
-28.671056,-31.2693,-4,-21.672055,25.672055
89.659702,-89.264718,58.666667,-22.404927,-36.26174
52.834196,62.723646,1.333333,36.862202,-38.195535
-112.807489,-170.880845,-56,-7.796767,63.796767
0.898865,-6.467277,6.666667,-9.107005,2.440339
-111.888354,101.834802,-50.666667,50.160123,0.506543
-73.325512,-83.119289,12,-54.498845,42.498845
-77.422268,31.0739,-45.333333,4.768283,40.56505
29.696294,3.650995,17.333333,4.035412,-21.368745
-157.798687,102.190754,-40,63.30254,-23.30254
0.604864,-65.893426,22.666667,-41.933795,19.267129
-45.987738,33.636299,-34.666667,17.333333,17.333333
66.614345,38.815758,28,16.600462,-44.600462
-100.394345,-115.525162,-29.333333,-28.058507,57.39184
36.935126,-47.77823,33.333333,-28.791378,-4.541955
-16.89296,47.056095,-24,29.898383,-5.898383
106.955574,124.646811,38.666667,29.165512,-67.832179
-48.367553,-26.117348,-18.666667,-15.493457,34.160123
66.588566,-46.897207,44,-16.226328,-27.773672
33.0853,67.134916,-13.333333,43.040801,-29.707467
129.426893,-104.546726,49.333333,-61.618168,12.284834
-10.578173,-1.866312,-8,-2.928406,10.928406
94.624211,-153.991036,54.666667,-3.661278,-51.005389
-95.165773,-94.034259,-2.666667,-48.320246,50.986913
-100.53432,133.122956,-59.333333,10.613549,48.719784
11.757715,10.592758,3.333333,9.880677,-13.214011
-151.126903,115.50341,-54,68.570439,-14.570439
-26.162034,-53.885471,8.666667,-36.08853,27.421863
-72.944235,62.45275,-48.666667,23.178599,25.488068
49.332339,39.443781,14,22.445727,-36.445727
-108.236975,-138.319497,-43.333333,-22.213241,65.546574
11.864341,-34.019635,19.333333,-23.52348,4.190146
-45.47039,60.613346,-38,35.743649,2.256351
100.094751,104.94518,24.666667,35.010778,-59.677444
-68.109284,-23.160195,-32.666667,-9.648191,42.314858
41.954093,-21.537998,30,-10.381062,-19.618938
-2.66038,76.027704,-27.333333,48.886066,-21.552733
56.170444,-85.282245,35.333333,-56.350269,21.016936
-32.352039,6.542012,-22,2.916859,19.083141
73.22945,-1.721397,40.666667,2.183988,-42.850654
-98.201871,-99.510361,-16.666667,-42.474981,59.141647
71.874334,-78.922046,46,-43.207852,-2.792148
-4.443029,21.742382,-11.333333,15.481909,-4.148576
107.425053,150.563239,51.333333,14.749038,-66.082371
-46.257608,-48.78655,-6,-29.909931,35.909931
96.213827,-98.644943,56.666667,-30.642802,-26.023865
30.253047,43.34849,-0.666667,28.624326,-27.95766
-127.893736,-169.107722,-58,-16.034642,74.034642
-7.529061,-21.188929,4.666667,-17.344881,12.678214
-81.668193,83.333483,-52.666667,41.922248,10.744419
81.303838,82.045758,10,41.189376,-51.189376
-98.318213,-151.336284,-47.333333,-3.469592,50.802925
19.637411,-7.427594,16,-4.535797,-11.464203
-105.704463,93.445186,-41.333333,54.153965,-12.820631
-31.786539,-78.287193,21.333333,-50.505004,29.171671
-54.827249,22.14795,-36,8.762125,27.237875
53.244635,12.961815,26.666667,8.029253,-34.69592
161.875372,108.220545,-30.666667,67.296382,-36.629715
31.46091,-59.31804,32,-37.362587,5.362587
-24.378795,32.916565,-25.333333,21.327175,4.006159
82.07384,70.557363,37.333333,20.594303,-57.927637
-66.440368,-52.562744,-20,-24.064665,44.064665
60.38647,-54.464117,42.666667,-24.797537,-17.86913
10.282777,51.396574,-14.666667,34.469592,-19.802925
157.91915,-114.309163,48,-70.766744,22.766744
-24.923136,-14.763722,-9.333333,-11.499615,20.832948
92.277232,-97.256689,53.333333,-12.232487,-41.100847
73.806021,81.207628,-4,47.034642,-43.034642
124.090769,-110.398896,58.666667,-57.624326,-1.04234
0.043535,-0.004205,1.333333,1.065435,-2.398768
-127.858933,108.269404,-56,60.332564,-4.332564
-52.631745,-70.495109,6.666667,-44.326405,37.659738
-81.222188,65.357368,-50.666667,14.940724,35.725943
34.72246,21.809318,12,14.207852,-26.207852
-172.660055,119.256815,-45.333333,73.474981,-28.141647
0.151475,-46.046365,17.333333,-31.761355,14.428022
-52.666067,52.638163,-40,27.505774,12.494226
74.564887,65.101726,22.666667,26.772902,-49.439569
-84.296642,-71.693195,-34.666667,-17.886066,52.552733
33.134629,-32.152014,28.666667,-18.952271,-9.714396
-19.453659,61.572869,-28.666667,39.73749,-11.070824
179.271781,-100.396216,34,-64.921478,30.921478
-44.383059,-7.283387,-23.333333,-5.654349,28.987683
63.672189,-23.445012,39.333333,-6.387221,-32.946112
69.629321,84.971375,-18,52.879908,-34.879908
76.078376,-84.132558,44.666667,-51.779061,7.112394
-10.985271,8.396771,-12.666667,6.910701,5.755966
96.141729,130.101281,50,6.177829,-56.177829
-68.830909,-70.852363,-7.333333,-38.481139,45.814473
101.830673,-101.978206,55.333333,-39.214011,-16.119323
14.802447,26.154011,-2,20.053118,-18.053118
-164.437961,131.769453,-59.333333,78.742879,-19.409546
-20.476623,-36.54185,3.333333,-25.916089,22.582756
-54,33.351039,20.648961,-54,33.351039
58.970352,60.156603,8.666667,32.618168,-41.284834
-103.533726,-149.23118,-48.666667,-12.040801,60.707467
8.903014,-16.156663,14,-13.351039,-0.648961
-64.522285,78.076033,-43.333333,45.916089,-2.582756
-133.279995,-100.506006,19.333333,-58.742879,39.409546
-66.912789,7.419476,-38,0.524249,37.475751
40.228601,-3.441092,24.666667,-0.208622,-24.458045
-166.36819,91.220544,-32.666667,59.058507,-26.39184
22.283298,-71.855052,30,-46.177829,16.177829
-34.94307,23.342137,-27.333333,13.089299,14.244034
74.963875,38.050829,35.333333,12.356428,-47.689761
-84.967851,-82.21928,-22,-32.30254,54.30254
55.892976,-62.361056,41.333333,-33.368745,-7.964588
-3.351613,35.325217,-16,25.321016,-9.321016
113.207513,142.647721,46.666667,24.588145,-71.254811
-40.445979,-32.092989,-10.666667,-20.070824,30.73749
81.428066,-73.377047,52,-20.803695,-31.196305
40.994348,61.389318,-5.333333,38.463433,-33.1301
142.473278,-116.77799,57.333333,-66.195535,8.862202
-0.140365,-0.075719,0,-7.505774,7.505774
-104.448153,99.253916,-57.333333,51.761355,5.571978
-76.333834,-81.595736,5.333333,-52.897614,47.56428
-82.919615,21.863348,-52,6.369515,45.630485
19.678926,5.881335,10.666667,5.636644,-16.30331
-144.379649,105.281795,-46.666667,64.326405,-17.659738
-16.295946,-60.592744,16,-40.332564,24.332564
-58.497328,42.840565,-41.333333,18.934565,22.398768
59.22542,37.92403,21.333333,18.201694,-39.535027
-100.779497,-115.438257,-36,-26.457275,62.457275
23.526067,-41.602777,26.666667,-27.190146,0.52348
-29.842401,50.543271,-30.666667,31.499615,-0.832948
98.975275,106.737192,32,30.766744,-62.766744
-60.649643,-29.029343,-25.333333,-13.892225,39.225558
53.574966,-33.917158,37.333333,-14.625096,-22.708237
16.983636,69.139334,-20,44.642032,-24.642032
126.454863,-98.646912,42.666667,-60.594303,17.927637
-22.308343,-0.207574,-14.666667,-1.327175,15.993841
