α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
0,0,0,0,0,0,0,0,0
0.394873,0.789609,1.184159,1.578478,1.972519,2.366235,2.759579,3.152505,3.544969
0.861979,1.724807,2.588177,3.451779,4.315299,5.17842,6.040829,6.902212,7.762258
0.518217,1.047435,1.587895,2.13984,2.70351,3.279144,3.866977,9.685989,10.921722
1.037365,2.096914,3.178991,4.28393,5.412056,6.563674,7.739073,8.938517,10.162247
1.658329,3.333206,5.025767,6.737176,8.468619,10.523926,12.398818,14.307667,16.249941
2.31658,4.656605,7.020836,9.410015,11.824855,14.266033,16.73418,19.75584,22.387914
2.907942,5.842616,8.803208,10.223915,12.851136,15.514109,18.216883,20.963648,23.758638
2.694509,5.412151,8.157095,10.934025,16.932141,20.372387,23.823191,27.28152,30.744618
2.836721,5.693009,8.574704,11.48556,14.43063,17.415772,20.447797,23.534613,26.685319
2.962263,5.922619,8.885895,11.857703,14.844638,17.854494,20.89649,23.981487,27.122167
3.065888,6.111913,9.143913,12.168709,15.194267,18.229877,21.286349,24.376195,27.513768
3.138818,6.250227,9.340135,12.415485,15.484364,18.556112,21.641447,24.752546,27.903084
3.195394,6.366419,9.51787,12.655396,15.785545,18.915798,22.054608,25.21139,28.396465
3.248419,6.482948,9.707134,12.92493,16.140644,19.358876,22.584474,26.149303,29.45724
2.872101,6.601138,9.904055,13.212462,16.528924,19.855489,23.193549,26.543741,29.905931
3.357562,6.726397,10.110026,13.511388,16.932536,20.374338,23.836219,27.316001,30.80989
3.434126,6.88693,10.363094,13.86662,17.400438,20.96601,24.562949,28.18874,31.838621
3.549601,7.121072,10.720778,14.354694,18.027972,21.744446,25.50613,29.31275,33.16137
3.742722,7.443926,11.208297,15.012665,18.865702,22.775308,26.747944,30.787868,34.896314
3.903542,7.829651,11.789554,15.795605,19.860849,23.998374,28.220449,32.537383,36.956014
4.101643,8.226695,12.388927,16.603993,20.889085,25.262292,29.741598,34.343327,39.079795
4.279353,8.584491,12.931081,17.33705,21.822387,26.408606,31.117689,35.970219,40.98224
4.419403,8.868139,13.362909,17.922594,22.568188,27.322401,32.208647,37.249036,42.46073
4.514286,9.061326,13.903449,18.323616,23.078225,27.94397,32.943334,38.097314,43.421732
4.680553,9.166162,13.818068,18.539754,23.350574,28.270642,33.319945,38.516496,43.873018
4.716228,9.200718,13.868898,18.605499,23.428529,28.355845,33.404164,38.587378,43.913934
4.711757,9.191729,13.851954,18.577897,23.386479,28.29337,33.31174,38.450664,43.713317
4.670742,9.164989,13.808711,18.516214,23.303784,28.185226,33.170203,38.262588,43.459429
4.604222,9.138854,13.769639,18.464979,23.240946,28.10986,33.078124,38.144447,43.299354
4.545441,9.122831,13.750739,18.447591,23.229444,28.107418,33.085099,38.156571,43.306192
4.540586,9.119251,13.755608,18.468729,23.274673,28.183627,33.197035,38.305437,43.488135
4.539625,9.12597,13.779832,18.520937,23.365447,28.32307,33.394102,38.567033,43.817736
4.5415,9.139466,13.816226,18.592438,23.484796,28.503312,33.648376,38.908055,44.256482
4.545997,9.157732,13.859683,18.674099,23.619014,28.705782,33.936158,39.299146,44.768451
4.55424,9.181673,13.909744,18.763243,23.762586,28.921542,34.244212,39.721292,45.326693
4.562787,9.214203,13.969723,18.862969,23.917772,29.151146,34.569953,40.166526,45.914799
4.588579,9.25772,14.043242,18.977962,24.089911,29.399724,34.91675,40.63407,46.524692
4.615073,9.311619,14.130484,19.109548,24.281451,29.670325,35.287127,41.124221,47.152239
4.644621,9.371378,14.226361,19.252779,24.487923,29.958938,35.677229,41.632847,47.792563
4.672947,9.429655,14.321451,19.396859,24.697627,30.253332,36.074808,42.148599,48.436545
4.695853,9.478714,14.404995,19.528345,24.894704,30.535682,36.46104,42.653385,49.069286
