β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
0,0,0,0,0,0,0,0,0
0.401519,0.803534,1.206004,1.608889,0.178951,0.216442,0.254553,1.115099,1.251818
1.187314,2.374036,3.559424,0.486581,0.598022,0.704889,8.273238,9.441284,10.603845
1.524476,3.047742,4.5692,6.088265,7.604363,9.116934,10.625431,2.161476,2.480568
1.849732,3.700401,5.551669,7.403199,9.254656,11.1057,12.955993,14.805192,16.652956
2.204905,4.415868,6.16136,8.85756,11.089059,13.328117,15.574998,17.829883,20.092846
2.500793,4.938571,7.459738,10.016871,12.653597,15.239068,17.846414,20.476833,23.131237
2.792033,6.425844,9.710911,13.04211,13.767567,16.61527,19.500848,22.426178,25.392508
3.7514,7.548532,11.389051,15.773933,14.56355,17.605903,20.700092,23.847993,27.05027
4.112365,8.26005,13.108089,17.498681,21.889343,18.636933,21.911703,25.24074,28.623529
3.232963,6.503973,13.511203,18.057093,22.612206,27.167891,31.71481,36.243316,40.743924
4.18834,8.752105,13.178626,17.631972,22.105526,26.591589,31.081634,35.566659,40.037643
4.006596,8.234405,12.408423,16.616261,20.853435,25.114322,29.392311,33.680102,37.970115
3.784387,7.63902,11.818034,15.845079,19.905727,23.647582,27.697547,31.761839,35.832609
3.599276,7.153122,12.21575,16.353062,19.216032,23.138408,27.07279,31.011969,34.94874
3.508426,6.912778,10.43013,16.641642,19.021,22.879389,26.739871,30.595,34.437681
3.537066,6.96925,10.504691,14.072448,19.113105,22.966045,26.811318,30.640992,34.447851
3.676446,7.282076,10.962779,14.664164,18.380678,22.10605,27.273126,31.131335,34.956609
3.89259,7.75148,11.6519,15.558891,19.464121,23.359027,27.23516,31.084538,35.825199
4.140789,8.269234,12.409949,16.541546,20.653533,24.735617,28.778326,32.773734,36.716231
4.376595,8.753591,13.11629,17.453801,21.753772,26.004328,30.195181,34.318991,38.372652
4.357366,8.711014,13.043236,17.335846,21.571994,25.738947,29.83106,33.851676,37.813023
4.432617,8.866529,13.278891,17.647513,21.953632,26.185384,30.340741,34.428534,39.645695
4.495948,8.999989,13.485165,17.926406,22.304269,26.608912,30.84271,36.051966,40.230797
4.539464,9.094333,13.635162,18.13533,22.575533,26.948024,32.073536,36.36596,40.603014
4.554529,9.131372,13.700605,18.235539,22.717667,27.746522,32.140226,36.468802,40.760016
4.707557,9.098858,13.662128,18.200202,23.142136,27.615566,32.020293,36.378479,40.722848
4.626282,9.341618,14.024235,18.662041,22.878247,27.335596,31.744826,36.133595,40.538619
4.530552,9.133985,13.733341,18.301083,22.511066,26.947016,31.364163,35.79512,40.278709
4.411944,8.894186,13.393256,17.658494,22.084487,26.506081,30.947509,35.444472,40.034535
4.303289,8.467213,12.759619,17.261278,21.650488,26.078073,30.572802,35.169967,39.901041
4.176858,8.303368,12.530552,16.824052,21.260517,25.723503,30.306927,35.040868,39.945165
4.068527,8.185608,12.372426,16.653441,20.956353,25.484734,30.187794,35.085262,40.180429
4.035946,8.124786,12.299037,16.594287,20.76522,25.380986,30.220508,35.289043,40.570526
4.033101,8.12171,12.308495,16.638505,21.154495,25.412648,30.387407,35.613634,41.056054
4.057723,8.17065,12.389464,16.766259,21.34737,25.569153,30.661426,36.015095,41.578685
4.105936,8.26333,12.527955,16.956105,21.595436,25.834859,31.014385,36.453388,42.089349
4.173559,8.391671,12.711722,17.191112,21.8768,26.191707,31.420005,36.894336,42.547558
4.256969,8.549285,12.932222,17.461047,21.653058,26.620018,31.854848,37.310532,42.922124
4.353554,8.330563,13.184801,17.761979,22.126878,27.098344,32.298285,37.682229,43.193888
4.461483,8.936889,13.467032,17.882843,22.649262,27.602682,32.731085,37.996197,43.355934
4.578768,9.160637,13.775378,18.396894,23.189485,28.106107,33.133703,38.243066,43.410795
4.718153,9.45396,14.187994,18.905117,23.715289,28.580388,33.486732,38.416574,43.368746
4.877244,9.790087,14.65625,19.378538,24.196972,29.000099,33.774627,38.51654,43.249641
4.945521,10.075997,15.051582,19.794464,24.611913,29.347713,33.990867,38.553331,43.085608
5.052615,10.070188,15.367034,20.138946,24.947804,29.617206,34.141163,38.549635,42.920071
5.142646,10.243221,15.270664,20.407331,25.203356,29.814423,34.242687,38.537483,42.801602
5.212844,10.378372,15.456311,20.603022,25.386558,29.954443,34.319921,38.551982,42.775229
5.263277,10.476002,15.590678,20.735271,25.511645,30.057542,34.399456,38.624891,42.875104
5.296589,10.541393,15.682076,20.81695,25.596078,30.145453,34.50572,38.780225,43.120493
5.317158,10.583164,15.743562,20.862827,25.658251,30.238688,34.658304,39.032113,43.514778
5.329881,10.611016,15.789715,20.888339,25.715922,30.354844,34.870566,39.384318,44.04656
5.338929,10.633358,15.833133,20.908558,25.78502,30.507534,35.149188,39.831143,44.692732
5.346813,10.655425,15.881555,20.93705,25.878565,30.705734,35.494588,40.359733,45.423474
5.31303,10.678386,15.936421,20.984549,26.005576,30.953415,35.901943,40.953204,46.208045
5.359156,10.699665,15.876966,21.057529,26.16996,31.249209,36.362117,41.593191,47.018965
5.359891,10.714289,15.914032,21.156948,26.369522,31.585938,36.861832,42.260502,47.832753
5.353697,10.716759,15.965988,21.27754,26.595351,31.950094,37.382993,42.933818,48.627409
5.313433,10.702792,16.024952,21.407987,26.83196,32.321729,37.90192,43.587712,49.378776
5.314521,10.670395,16.079154,21.532168,27.058506,32.675359,38.389532,44.191747,50.058309
5.281465,10.620016,16.114876,21.631437,27.251181,32.982226,38.81325,44.711826,50.633736
5.240978,10.553924,15.961791,21.687577,27.38653,33.213852,39.140682,45.113902,51.072641
5.194747,10.475212,15.872417,21.685894,27.445135,33.346282,39.344386,45.369159,51.347813
5.144373,10.386902,15.766165,21.617818,27.414897,33.364076,39.406552,45.459222,51.44267
5.091185,10.29147,15.646143,21.482449,27.293159,33.263047,39.322303,45.379854,51.355086
5.036311,10.190917,15.51466,21.28673,27.087151,33.05099,39.100657,45.142054,51.098471
4.980922,10.087226,15.373948,21.044249,26.812654,32.746184,38.762845,44.770198,50.69983
4.932326,9.982922,15.227093,20.772999,26.49126,32.3741,38.338485,44.297823,50.195391
4.874863,9.881397,15.078647,20.492637,26.146945,31.963238,37.860713,43.762216,49.624968
4.828251,9.786804,14.934566,20.221836,25.802737,31.541113,37.36152,43.199187,49.026372
4.788819,9.703501,14.801451,19.976154,25.478109,31.131185,36.868226,42.639094,48.431065
4.75831,9.635228,14.685323,19.766683,25.187374,30.751071,36.401513,42.10468,47.861833
4.737667,9.58432,14.5904,19.599467,24.93908,30.411989,35.974967,41.610726,47.332645
4.726825,9.551226,14.518282,19.475605,24.736198,30.119123,35.595711,41.165088,46.850245
4.724744,9.534477,14.467802,19.391838,24.576851,29.872555,35.265646,40.770441,46.416599
4.729644,9.531087,14.435538,19.341491,24.455382,29.668454,34.982871,40.426104,46.031286
4.710074,9.537229,14.416769,19.315642,24.363601,29.500353,34.742995,40.129483,45.693169
4.751706,9.54896,14.406552,19.30441,24.292141,29.360422,34.540232,39.872664,45.401051
4.770376,9.562797,14.400589,19.298257,24.231802,29.240662,34.368273,39.664308,45.153422
4.776968,9.576049,14.395727,19.289165,24.174776,29.133987,34.220979,39.486693,44.947666
4.78729,9.586882,14.390041,19.275912,24.115613,29.035089,34.092954,39.33876,44.779239
4.795041,9.59422,14.38264,19.24277,24.051801,28.941016,33.980009,39.214757,44.641291
4.799869,9.597567,14.373343,19.203237,23.983878,28.851375,33.879486,39.10892,44.524973
4.801669,9.596841,14.452504,19.155991,23.915055,28.76813,33.790392,39.016036,44.420431
4.800527,9.642016,14.350216,19.105953,23.850432,28.695013,33.713282,38.932023,44.318241
4.796681,9.584286,14.337442,19.05893,23.795937,28.636649,33.649871,38.85435,44.210902
4.787965,9.567727,14.324751,19.020548,23.75718,28.597522,33.602415,38.782166,44.094017
4.778371,9.5608,14.312868,18.995301,23.741544,28.580969,33.572941,38.71605,43.966832
4.765066,9.546779,14.30243,18.985839,23.741666,28.588355,33.562477,38.65743,43.832006
4.754383,9.5321,14.293823,18.992592,23.766471,28.618559,33.570407,38.607784,43.694655
4.746122,9.517122,14.287007,19.013733,23.809679,28.667865,33.594113,38.567851,43.560959
