α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
0,0,0,0,0,0,0,0,0
0.39395,0.787764,1.181393,1.574792,1.967915,2.360713,2.753143,3.145157,3.53671
0.845903,1.692668,2.540006,3.387627,4.235236,5.082537,5.929234,6.775029,7.619633
0.511901,1.0342,1.567127,2.110911,2.66578,6.888809,8.057911,9.23234,10.411777
1.391695,2.79862,4.220804,5.658224,7.110795,8.578374,10.060746,11.557627,12.591491
1.542811,3.109158,4.699933,6.18534,7.755777,9.338708,10.935642,12.548119,14.177703
2.047968,3.157833,4.776592,6.424343,8.103041,9.814743,11.561593,13.345813,15.169682
1.59767,4.72997,4.848101,6.503893,8.182282,9.885095,11.61432,13.372131,15.160939
1.67659,3.356419,5.040333,6.729138,8.423627,10.124614,11.83299,13.549804,15.276377
1.758806,3.505254,5.240389,6.965092,8.680113,10.386113,12.083747,13.773775,15.457215
1.824784,3.626824,5.408186,7.170744,8.916195,10.646107,12.361997,14.065448,15.758279
1.862815,3.699445,5.5131,7.306872,9.08374,10.846581,12.598234,14.341584,16.079701
1.515919,3.707774,5.530212,7.336838,9.131578,10.918402,12.701341,14.484531,16.27227
1.854402,3.691713,5.515428,5.618166,9.137321,10.943777,12.75319,14.570335,16.400212
1.858118,3.705021,5.543168,7.375381,9.204906,11.03545,12.871176,14.716667,16.576859
1.89198,3.775041,5.65054,7.520196,9.386197,11.251274,13.118729,14.9924,16.876594
1.965248,3.620701,5.867954,7.806775,9.738715,11.665493,13.589411,15.513365,17.440795
2.061417,4.153671,6.215458,8.267449,10.310062,12.344091,14.370837,16.392176,18.410555
2.22798,4.44678,6.656601,8.857486,11.049448,13.232628,15.407465,17.574812,19.735976
2.371858,4.955376,7.096815,9.451256,11.800696,14.145129,16.484502,18.818836,21.148292
2.632492,4.955105,7.429545,9.904153,12.379968,14.857504,17.336807,19.817538,22.299022
2.722852,5.055533,7.583608,10.116191,12.655834,15.204358,17.762773,20.331253,22.909133
2.749978,5.036037,7.551488,10.071593,12.600808,15.142998,17.701201,20.277423,22.872508
2.709624,4.934345,7.38865,9.841966,12.300414,14.77012,17.256873,19.765758,22.300798
2.413134,4.804935,7.180189,9.544812,11.905745,14.270769,16.648202,19.046469,21.473584
2.359007,4.689477,6.995088,9.281004,11.553944,13.822168,16.095322,18.384097,20.69971
